name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
amccaskey/DataTransferKit	1491313883	1493678068	2364185	197449577	195085392	0	0	0	0	1	0	25	10	1853	0.83	0.1	0.02	0.02	0.02	0.01	0.0	0.0	0.0	0.0
amccaskey/libmesh-dtk3.0	1494941816	1499782343	4840527	193821644	188981117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMD-Grifon/android_kernel_samsung_aries	1450447172	1490021885	39574713	238316288	198741575	1	0	0	0	1	0	29	100	81258	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
amdcomputelibraries/computeapps	1447344372	1576191855	128847483	241419088	112571605	23	0	0	3	0	11	11	7	29	0.66	0.1	0.07	0.07	0.03	0.03	0.03	0	0	0
AMechler/AliPhysics	1491226439	1663935491	172709052	197537021	24827969	1	0	0	0	1	0	754	100	46773	0.42	0.05	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01
Ames-Laboratory/ParFit	1435696720	1435696720	0	253066740	253066740	0	0	0	0	0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0
ames-laboratory-cyber-group/cydime	1408498433	1443819018	35320585	280265027	244944442	3	0	0	2	0	0	0	2	17	0.94	0.06	0	0	0	0	0	0	0	0
AmesianX/libusb	1448282067	1448127384	-154683	240481393	240636076	0	0	0	0	1	0	1765	70	623	0.24	0.22	0.14	0.13	0.06	0.03	0.03	0.01	0.01	0.01
amhluk/gitignore	1437802687	1437752661	-50026	250960773	251010799	0	0	0	0	1	0	84173	100	983	0.34	0.13	0.1	0.03	0.03	0.02	0.02	0.01	0.01	0.01
aminghaderi/cdnjs	1396237182	1396237416	234	292526278	292526044	0	0	0	0	1	0	4562	100	3500	0.27	0.25	0.13	0.04	0.01	0.01	0.01	0.01	0.01	0.01
aminin/countries	1441312628	1441226970	-85658	247450832	247536490	0	0	0	0	1	0	665	94	503	0.34	0.27	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01
amir73il/ext4-snapshots	1288012284	1688718808	400706524	400751176	44652	36	0	0	0	1	12	788	0	0	0	0	0	0	0	0	0	0	0	0
amitabhaghosh197/cdnjs	1403117883	1403120741	2858	285645577	285642719	0	0	0	0	1	0	4562	100	4225	0.29	0.23	0.11	0.06	0.03	0.01	0.01	0.01	0.01	0.01
AmitaiB/gitignore	1437597934	1437591759	-6175	251165526	251171701	0	0	0	0	1	0	84178	100	982	0.34	0.13	0.1	0.03	0.03	0.02	0.02	0.01	0.01	0.01
AmitMessing/gitignore	1437140257	1437074097	-66160	251623203	251689363	0	0	0	0	1	0	84178	100	982	0.34	0.13	0.1	0.03	0.03	0.02	0.02	0.01	0.01	0.01
amitree/activerecord-postgis-adapter	1424717673	1453208204	28490531	264045787	235555256	1	0	0	0	1	1	223	23	483	0.7	0.2	0.05	0.01	0.0	0.0	0.0	0.0	0.0	0.0
amitsaha/pelican-plugins	1442178243	1442181160	2917	246585217	246582300	0	0	0	0	1	0	873	100	649	0.41	0.05	0.04	0.04	0.04	0.03	0.02	0.02	0.02	0.02
amk221/ember.js	1483555077	1590762745	107207668	205208383	98000715	0	0	0	0	1	0	4304	100	11989	0.28	0.15	0.1	0.05	0.04	0.03	0.03	0.03	0.02	0.02
ammula88/linux	1454859509	1489805130	34945621	233903951	198958330	0	0	0	0	1	0	48616	100	160727	0.1	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02
amoghavs/PEBIL	1384801729	1445567047	60765318	303961731	243196413	0	0	0	0	1	0	15	1	1	1.0	0	0	0	0	0	0	0	0	0
Amomo/cdnjs	1436431164	1490245621	53814457	252332296	198517839	1	0	0	0	1	0	4562	100	34130	0.46	0.35	0.04	0.03	0.01	0.01	0.01	0.01	0.01	0.01
AMoo-Miki/cdnjs	1432825406	1478681952	45856546	255938054	210081508	0	0	0	0	1	0	4562	100	27921	0.52	0.26	0.05	0.03	0.02	0.01	0.01	0.01	0.01	0.01
amoody2108/TechForJustice	1462029653	1462116414	86761	226733807	226647046	0	0	0	0	0	2	2	100	44722	0.09	0.09	0.09	0.08	0.06	0.05	0.04	0.03	0.03	0.02
amoose136/xdmf_pyplotter	1479146161	1500522321	21376160	209617299	188241139	3	0	0	3	0	1	1	2	68	0.57	0.43	0	0	0	0	0	0	0	0
Amorymeltzer/homebrew-cask	1417478225	1688169566	270691341	271285235	593894	1	0	0	5	1	0	10288	100	122886	0.12	0.12	0.11	0.08	0.05	0.04	0.04	0.03	0.03	0.03
amoyeh/cdnjs	1456908933	1456914826	5893	231854527	231848634	0	0	0	0	1	0	4562	100	17029	0.67	0.08	0.06	0.03	0.02	0.02	0.01	0.01	0.01	0.01
Amperific/kernel_tuna_4.3	1371547428	1381795340	10247912	317216032	306968120	2	0	0	0	0	17	17	100	80951	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
AmperificSuperKANG/kernel_hammerhead	1397615171	1400150941	2535770	291148289	288612519	0	0	0	0	0	0	0	100	92450	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
ampl/gsl	1346455932	1679903751	333447819	342307528	8859709	477	0	0	10	0	192	192	19	234	0.42	0.32	0.15	0.03	0.01	0.01	0.01	0.0	0.0	0.0
amrex-astro/castro	1421871037	1688505268	266634231	266892423	258192	241	0	0	117	0	85	85	43	8986	0.53	0.33	0.07	0.02	0.02	0.01	0.0	0.0	0.0	0.0
amrex-astro/ml-reactions	1594847014	1681329364	86482350	93916446	7434096	2	0	0	4	0	3	3	3	132	0.61	0.23	0.16	0	0	0	0	0	0	0
amrex-codes/mfix-exa	1521496516	1684354329	162857813	167266944	4409131	7	0	0	0	0	11	11	13	401	0.51	0.14	0.1	0.08	0.04	0.03	0.02	0.02	0.01	0.01
amruthsoft9/Jenkis	1452658171	1457554655	4896484	236105289	231208805	0	0	0	1	0	0	0	100	11967	0.43	0.2	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02
amstocker/LBNLResearch	1405451966	1415954972	10503006	283311494	272808488	0	0	0	0	0	1	1	1	45	1.0	0	0	0	0	0	0	0	0	0
amsul/cdnjs	1397367000	1397420948	53948	291396460	291342512	0	0	0	0	1	0	4562	100	3606	0.27	0.26	0.13	0.04	0.01	0.01	0.01	0.01	0.01	0.01
amunctu/gitcht1	1412740686	1412745833	5147	276022774	276017627	0	0	0	0	0	0	0	100	809	0.26	0.15	0.13	0.04	0.02	0.02	0.02	0.01	0.01	0.01
amuniz/jenkins	1438115067	1677625023	239509956	250648393	11138437	0	0	0	0	1	0	8167	100	16358	0.35	0.21	0.06	0.05	0.03	0.03	0.03	0.02	0.02	0.02
amwmedia/cdnjs	1424099289	1424077859	-21430	264664171	264685601	0	0	0	0	1	0	4562	100	7396	0.4	0.18	0.13	0.06	0.04	0.01	0.01	0.01	0.01	0.01
amy-huang/unofficialLLNLinternguide	1503373705	1503377641	3936	185389755	185385819	0	0	0	0	0	0	0	1	12	1.0	0	0	0	0	0	0	0	0	0
amyglix/re-explorer	1486078085	1486078104	19	202685375	202685356	1	0	0	0	0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0
ana-tudor/openqasm_to_qtrl	1561583219	1566110100	4526881	127180241	122653360	1	0	0	0	0	1	1	1	16	1.0	0	0	0	0	0	0	0	0	0
anacronw/power-up	1394252444	1394442177	189733	294511016	294321283	1	0	0	0	0	0	0	1	7	1.0	0	0	0	0	0	0	0	0	0
analizo/doxyparse	1449179918	1606410191	157230273	239583542	82353269	2	0	0	2	0	8	8	100	1336	0.44	0.13	0.08	0.06	0.05	0.03	0.02	0.01	0.01	0.01
anandharaju/Detecting_Lateral_Movement_of_Malwares_1	1549232967	1549232968	1	139530493	139530492	0	0	0	0	0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0
anandkp92/waf	1433795831	1440123431	6327600	254967629	248640029	0	0	0	0	0	0	0	62	17065	0.72	0.15	0.03	0.02	0.02	0.02	0.01	0.01	0.0	0.0
AnastasiaSulyagina/homebrew-cask	1464033916	1471846030	7812114	224729544	216917430	0	0	0	0	1	0	10288	100	41321	0.34	0.28	0.09	0.04	0.04	0.04	0.02	0.01	0.01	0.01
anbe42/dkms	1666787353	1686910574	20123221	21976107	1852886	0	0	0	0	1	0	137	94	566	0.22	0.15	0.12	0.1	0.08	0.03	0.02	0.01	0.01	0.01
anbotero/homebrew-cask	1459999456	1459999529	73	228764004	228763931	0	0	0	0	1	0	10286	100	39148	0.35	0.28	0.08	0.04	0.04	0.04	0.02	0.02	0.01	0.01
anbreen/job-dsl-plugin	1490882880	1495971376	5088496	197880580	192792084	0	0	0	0	1	0	822	100	2406	0.76	0.03	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01
